"country","iso2c","iso3c","year","RQ.EST","VA.EST","PV.EST","GE.EST","CC.EST","RL.EST"
"Algeria","DZ","DZA",2002,-0.574951589107513,-1.04466021060944,-1.63456511497498,-0.614207327365875,-0.928754985332489,-0.636733174324036
"Algeria","DZ","DZA",2003,-0.481900811195374,-1.07671809196472,-1.75440907478333,-0.670340299606323,-0.715244472026825,-0.605380773544312
"Algeria","DZ","DZA",2004,-0.441777735948563,-0.802059054374695,-1.35918843746185,-0.553408741950989,-0.699272692203522,-0.616287350654602
"Algeria","DZ","DZA",2005,-0.341526746749878,-0.715685963630676,-0.913666009902954,-0.4386146068573,-0.466420471668243,-0.773644506931305
"Algeria","DZ","DZA",2006,-0.500463128089905,-0.916875541210175,-1.1264134645462,-0.43114972114563,-0.564962565898895,-0.775204539299011
"Algeria","DZ","DZA",2007,-0.52258163690567,-0.984122395515442,-1.15058553218842,-0.53074586391449,-0.592309474945068,-0.791886448860168
"Algeria","DZ","DZA",2008,-0.62473601102829,-0.979712247848511,-1.09584629535675,-0.596755087375641,-0.633444845676422,-0.767772257328033
"Algeria","DZ","DZA",2009,-0.964235186576843,-1.03841888904572,-1.19691348075867,-0.529050767421722,-0.614938259124756,-0.82556688785553
"Algeria","DZ","DZA",2010,-1.10480070114136,-1.02233076095581,-1.25936758518219,-0.388126194477081,-0.552147269248962,-0.816793382167816
"Algeria","DZ","DZA",2011,-1.21237993240356,-1.00412118434906,-1.36056065559387,-0.514732301235199,-0.572699666023254,-0.845334827899933
"Algeria","DZ","DZA",2012,-1.32038903236389,-0.906026601791382,-1.32504332065582,-0.444745928049088,-0.521544516086578,-0.812617719173431
"Algeria","DZ","DZA",2013,-1.13844060897827,-0.893353223800659,-1.20237147808075,-0.428817510604858,-0.472622781991959,-0.693158984184265
"Algeria","DZ","DZA",2014,-1.30188941955566,-0.813357710838318,-1.19053518772125,-0.336888343095779,-0.61265641450882,-0.804205596446991
"Algeria","DZ","DZA",2015,-1.23323774337769,-0.847575545310974,-1.0901597738266,-0.37799397110939,-0.616887092590332,-0.927119016647339
"Algeria","DZ","DZA",2016,-1.23002624511719,-0.861592352390289,-1.09752571582794,-0.430877894163132,-0.652786314487457,-0.906229853630066
"Algeria","DZ","DZA",2017,-1.25940835475922,-0.902943968772888,-0.915799140930176,-0.506708323955536,-0.576397895812988,-0.91266143321991
"Algeria","DZ","DZA",2018,-1.32996296882629,-0.999710500240326,-0.836119592189789,-0.457864254713058,-0.637313365936279,-0.793038606643677
"Algeria","DZ","DZA",2019,-1.3732773065567,-1.05352377891541,-1.04434263706207,-0.54141891002655,-0.63569438457489,-0.848534941673279
"Algeria","DZ","DZA",2020,-1.33929824829102,-1.08801770210266,-0.840253829956055,-0.544885635375977,-0.645068347454071,-0.793100297451019
"Algeria","DZ","DZA",2021,-1.17087244987488,-1.00951933860779,-0.876465022563934,-0.620759844779968,-0.614184439182281,-0.816039979457855
"Bahrain","BH","BHR",2002,0.867863118648529,-0.571163654327393,0.290830373764038,0.507285356521606,0.791833281517029,0.545502603054047
"Bahrain","BH","BHR",2003,0.621469795703888,-0.590705573558807,0.483918994665146,0.426035732030869,0.374170809984207,0.593708753585815
"Bahrain","BH","BHR",2004,0.702606558799744,-0.561549425125122,0.313402563333511,0.527056634426117,0.436752140522003,0.696617662906647
"Bahrain","BH","BHR",2005,0.659460783004761,-0.743174850940704,0.0141627388074994,0.391059279441834,0.383150041103363,0.597055912017822
"Bahrain","BH","BHR",2006,0.682441473007202,-0.903966546058655,-0.365050613880157,0.386875808238983,0.188148677349091,0.370951920747757
"Bahrain","BH","BHR",2007,0.764767169952393,-0.856526553630829,-0.247773513197899,0.402686685323715,0.175549507141113,0.521369874477386
"Bahrain","BH","BHR",2008,0.711206674575806,-0.868917524814606,-0.237366229295731,0.379488408565521,0.181815281510353,0.52541184425354
"Bahrain","BH","BHR",2009,0.692689776420593,-0.790999948978424,-0.137239441275597,0.476081341505051,0.180615961551666,0.511492669582367
"Bahrain","BH","BHR",2010,0.712015807628632,-0.965909421443939,-0.493476390838623,0.451603800058365,0.179316192865372,0.429740220308304
